[2023-10-31 22:37:27:798] INFO  8356 --- [background-preinit] Version:21 : HV000001: Hibernate Validator 8.0.0.Final
[2023-10-31 22:37:27:838] INFO  8356 --- [restartedMain] BackendCodingApplication:51 : Starting BackendCodingApplication using Java 20.0.1 with PID 8356 (C:\workSpace\nhnkcp-coding-test-JHB\target\classes started by alfha in C:\workSpace\nhnkcp-coding-test-JHB)
[2023-10-31 22:37:27:839] INFO  8356 --- [restartedMain] BackendCodingApplication:632 : No active profile set, falling back to 1 default profile: "default"
[2023-10-31 22:37:27:885] INFO  8356 --- [restartedMain] DevToolsPropertyDefaultsPostProcessor:250 : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[2023-10-31 22:37:27:886] INFO  8356 --- [restartedMain] DevToolsPropertyDefaultsPostProcessor:250 : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[2023-10-31 22:37:28:1700] INFO  8356 --- [restartedMain] RepositoryConfigurationDelegate:138 : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-10-31 22:37:28:1739] INFO  8356 --- [restartedMain] RepositoryConfigurationDelegate:208 : Finished Spring Data repository scanning in 21 ms. Found 0 JPA repository interfaces.
[2023-10-31 22:37:28:1846] WARN  8356 --- [restartedMain] ClassPathMapperScanner:44 : No MyBatis mapper was found in '[kr.co.kcp.backendcoding]' package. Please check your configuration.
[2023-10-31 22:37:29:2375] INFO  8356 --- [restartedMain] TomcatWebServer:108 : Tomcat initialized with port(s): 8989 (http)
[2023-10-31 22:37:29:2385] INFO  8356 --- [restartedMain] Http11NioProtocol:173 : Initializing ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:37:29:2385] INFO  8356 --- [restartedMain] StandardService:173 : Starting service [Tomcat]
[2023-10-31 22:37:29:2387] INFO  8356 --- [restartedMain] StandardEngine:173 : Starting Servlet engine: [Apache Tomcat/10.1.7]
[2023-10-31 22:37:29:2449] INFO  8356 --- [restartedMain] [/]:173 : Initializing Spring embedded WebApplicationContext
[2023-10-31 22:37:29:2449] INFO  8356 --- [restartedMain] ServletWebServerApplicationContext:291 : Root WebApplicationContext: initialization completed in 1562 ms
[2023-10-31 22:37:29:2480] INFO  8356 --- [restartedMain] HikariDataSource:110 : HikariPool-1 - Starting...
[2023-10-31 22:37:29:2740] INFO  8356 --- [restartedMain] HikariPool:565 : HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
[2023-10-31 22:37:29:2743] INFO  8356 --- [restartedMain] HikariDataSource:123 : HikariPool-1 - Start completed.
[2023-10-31 22:37:29:2756] INFO  8356 --- [restartedMain] H2ConsoleAutoConfiguration:88 : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
[2023-10-31 22:37:29:2951] INFO  8356 --- [restartedMain] LogHelper:31 : HHH000204: Processing PersistenceUnitInfo [name: default]
[2023-10-31 22:37:29:3019] INFO  8356 --- [restartedMain] Version:44 : HHH000412: Hibernate ORM core version 6.1.7.Final
[2023-10-31 22:37:30:3429] INFO  8356 --- [restartedMain] SQL dialect:66 : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
[2023-10-31 22:37:31:4369] INFO  8356 --- [restartedMain] JtaPlatformInitiator:51 : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-10-31 22:37:31:4389] INFO  8356 --- [restartedMain] LocalContainerEntityManagerFactoryBean:437 : Initialized JPA EntityManagerFactory for persistence unit 'default'
[2023-10-31 22:37:31:5007] INFO  8356 --- [restartedMain] OptionalLiveReloadServer:59 : LiveReload server is running on port 35729
[2023-10-31 22:37:31:5023] INFO  8356 --- [restartedMain] Http11NioProtocol:173 : Starting ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:37:31:5054] INFO  8356 --- [restartedMain] TomcatWebServer:220 : Tomcat started on port(s): 8989 (http) with context path ''
[2023-10-31 22:37:31:5064] INFO  8356 --- [restartedMain] BackendCodingApplication:57 : Started BackendCodingApplication in 4.795 seconds (process running for 6.31)
[2023-10-31 22:37:33:6457] INFO  8356 --- [File Watcher] LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener:211 : Restarting due to 5 class path changes (5 additions, 0 deletions, 0 modifications)
[2023-10-31 22:37:33:6486] INFO  8356 --- [Thread-6] Http11NioProtocol:173 : Pausing ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:37:33:6486] INFO  8356 --- [Thread-6] StandardService:173 : Stopping service [Tomcat]
[2023-10-31 22:37:33:6489] INFO  8356 --- [Thread-6] Http11NioProtocol:173 : Stopping ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:37:33:6491] INFO  8356 --- [Thread-6] Http11NioProtocol:173 : Destroying ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:37:33:6494] INFO  8356 --- [Thread-6] LocalContainerEntityManagerFactoryBean:650 : Closing JPA EntityManagerFactory for persistence unit 'default'
[2023-10-31 22:37:33:6704] WARN  8356 --- [Thread-6] DisposableBeanAdapter:210 : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-214]
[2023-10-31 22:37:33:6704] INFO  8356 --- [Thread-6] HikariDataSource:350 : HikariPool-1 - Shutdown initiated...
[2023-10-31 22:37:33:6707] INFO  8356 --- [Thread-6] HikariDataSource:352 : HikariPool-1 - Shutdown completed.
[2023-10-31 22:37:33:6810] INFO  8356 --- [restartedMain] BackendCodingApplication:51 : Starting BackendCodingApplication using Java 20.0.1 with PID 8356 (C:\workSpace\nhnkcp-coding-test-JHB\target\classes started by alfha in C:\workSpace\nhnkcp-coding-test-JHB)
[2023-10-31 22:37:33:6811] INFO  8356 --- [restartedMain] BackendCodingApplication:632 : No active profile set, falling back to 1 default profile: "default"
[2023-10-31 22:37:33:6997] INFO  8356 --- [restartedMain] RepositoryConfigurationDelegate:138 : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-10-31 22:37:33:7003] INFO  8356 --- [restartedMain] RepositoryConfigurationDelegate:208 : Finished Spring Data repository scanning in 5 ms. Found 0 JPA repository interfaces.
[2023-10-31 22:37:33:7037] WARN  8356 --- [restartedMain] ClassPathMapperScanner:44 : No MyBatis mapper was found in '[kr.co.kcp.backendcoding]' package. Please check your configuration.
[2023-10-31 22:37:33:7091] INFO  8356 --- [restartedMain] TomcatWebServer:108 : Tomcat initialized with port(s): 8989 (http)
[2023-10-31 22:37:33:7091] INFO  8356 --- [restartedMain] Http11NioProtocol:173 : Initializing ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:37:33:7092] INFO  8356 --- [restartedMain] StandardService:173 : Starting service [Tomcat]
[2023-10-31 22:37:33:7092] INFO  8356 --- [restartedMain] StandardEngine:173 : Starting Servlet engine: [Apache Tomcat/10.1.7]
[2023-10-31 22:37:33:7110] INFO  8356 --- [restartedMain] [/]:173 : Initializing Spring embedded WebApplicationContext
[2023-10-31 22:37:33:7110] INFO  8356 --- [restartedMain] ServletWebServerApplicationContext:291 : Root WebApplicationContext: initialization completed in 297 ms
[2023-10-31 22:37:33:7120] INFO  8356 --- [restartedMain] HikariDataSource:110 : HikariPool-2 - Starting...
[2023-10-31 22:37:33:7122] INFO  8356 --- [restartedMain] HikariPool:565 : HikariPool-2 - Added connection conn10: url=jdbc:h2:mem:testdb user=SA
[2023-10-31 22:37:33:7123] INFO  8356 --- [restartedMain] HikariDataSource:123 : HikariPool-2 - Start completed.
[2023-10-31 22:37:33:7123] INFO  8356 --- [restartedMain] H2ConsoleAutoConfiguration:88 : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
[2023-10-31 22:37:33:7166] INFO  8356 --- [restartedMain] LogHelper:31 : HHH000204: Processing PersistenceUnitInfo [name: default]
[2023-10-31 22:37:33:7172] INFO  8356 --- [restartedMain] SQL dialect:66 : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
[2023-10-31 22:37:33:7258] INFO  8356 --- [restartedMain] JtaPlatformInitiator:51 : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-10-31 22:37:33:7258] INFO  8356 --- [restartedMain] LocalContainerEntityManagerFactoryBean:437 : Initialized JPA EntityManagerFactory for persistence unit 'default'
[2023-10-31 22:37:34:7419] INFO  8356 --- [restartedMain] OptionalLiveReloadServer:59 : LiveReload server is running on port 35729
[2023-10-31 22:37:34:7428] INFO  8356 --- [restartedMain] Http11NioProtocol:173 : Starting ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:37:34:7431] INFO  8356 --- [restartedMain] TomcatWebServer:220 : Tomcat started on port(s): 8989 (http) with context path ''
[2023-10-31 22:37:34:7435] INFO  8356 --- [restartedMain] BackendCodingApplication:57 : Started BackendCodingApplication in 0.671 seconds (process running for 8.681)
[2023-10-31 22:37:34:7438] INFO  8356 --- [restartedMain] ConditionEvaluationDeltaLoggingListener:63 : Condition evaluation unchanged
[2023-10-31 22:38:46:79986] INFO  8356 --- [File Watcher] LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener:211 : Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
[2023-10-31 22:38:46:80015] INFO  8356 --- [Thread-8] Http11NioProtocol:173 : Pausing ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:38:46:80016] INFO  8356 --- [Thread-8] StandardService:173 : Stopping service [Tomcat]
[2023-10-31 22:38:46:80018] INFO  8356 --- [Thread-8] Http11NioProtocol:173 : Stopping ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:38:46:80019] INFO  8356 --- [Thread-8] Http11NioProtocol:173 : Destroying ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:38:46:80020] INFO  8356 --- [Thread-8] LocalContainerEntityManagerFactoryBean:650 : Closing JPA EntityManagerFactory for persistence unit 'default'
[2023-10-31 22:38:46:80231] WARN  8356 --- [Thread-8] DisposableBeanAdapter:210 : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-214]
[2023-10-31 22:38:46:80232] INFO  8356 --- [Thread-8] HikariDataSource:350 : HikariPool-2 - Shutdown initiated...
[2023-10-31 22:38:46:80233] INFO  8356 --- [Thread-8] HikariDataSource:352 : HikariPool-2 - Shutdown completed.
[2023-10-31 22:38:47:80326] INFO  8356 --- [restartedMain] BackendCodingApplication:51 : Starting BackendCodingApplication using Java 20.0.1 with PID 8356 (C:\workSpace\nhnkcp-coding-test-JHB\target\classes started by alfha in C:\workSpace\nhnkcp-coding-test-JHB)
[2023-10-31 22:38:47:80326] INFO  8356 --- [restartedMain] BackendCodingApplication:632 : No active profile set, falling back to 1 default profile: "default"
[2023-10-31 22:38:47:80475] INFO  8356 --- [restartedMain] RepositoryConfigurationDelegate:138 : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-10-31 22:38:47:80481] INFO  8356 --- [restartedMain] RepositoryConfigurationDelegate:208 : Finished Spring Data repository scanning in 5 ms. Found 0 JPA repository interfaces.
[2023-10-31 22:38:47:80507] WARN  8356 --- [restartedMain] ClassPathMapperScanner:44 : No MyBatis mapper was found in '[kr.co.kcp.backendcoding]' package. Please check your configuration.
[2023-10-31 22:38:47:80553] INFO  8356 --- [restartedMain] TomcatWebServer:108 : Tomcat initialized with port(s): 8989 (http)
[2023-10-31 22:38:47:80553] INFO  8356 --- [restartedMain] Http11NioProtocol:173 : Initializing ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:38:47:80553] INFO  8356 --- [restartedMain] StandardService:173 : Starting service [Tomcat]
[2023-10-31 22:38:47:80554] INFO  8356 --- [restartedMain] StandardEngine:173 : Starting Servlet engine: [Apache Tomcat/10.1.7]
[2023-10-31 22:38:47:80567] INFO  8356 --- [restartedMain] [/]:173 : Initializing Spring embedded WebApplicationContext
[2023-10-31 22:38:47:80567] INFO  8356 --- [restartedMain] ServletWebServerApplicationContext:291 : Root WebApplicationContext: initialization completed in 239 ms
[2023-10-31 22:38:47:80576] INFO  8356 --- [restartedMain] HikariDataSource:110 : HikariPool-3 - Starting...
[2023-10-31 22:38:47:80578] INFO  8356 --- [restartedMain] HikariPool:565 : HikariPool-3 - Added connection conn20: url=jdbc:h2:mem:testdb user=SA
[2023-10-31 22:38:47:80578] INFO  8356 --- [restartedMain] HikariDataSource:123 : HikariPool-3 - Start completed.
[2023-10-31 22:38:47:80579] INFO  8356 --- [restartedMain] H2ConsoleAutoConfiguration:88 : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
[2023-10-31 22:38:47:80618] INFO  8356 --- [restartedMain] LogHelper:31 : HHH000204: Processing PersistenceUnitInfo [name: default]
[2023-10-31 22:38:47:80624] INFO  8356 --- [restartedMain] SQL dialect:66 : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
[2023-10-31 22:38:47:80689] INFO  8356 --- [restartedMain] JtaPlatformInitiator:51 : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-10-31 22:38:47:80690] INFO  8356 --- [restartedMain] LocalContainerEntityManagerFactoryBean:437 : Initialized JPA EntityManagerFactory for persistence unit 'default'
[2023-10-31 22:38:47:80801] INFO  8356 --- [restartedMain] OptionalLiveReloadServer:59 : LiveReload server is running on port 35729
[2023-10-31 22:38:47:80807] INFO  8356 --- [restartedMain] Http11NioProtocol:173 : Starting ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:38:47:80810] INFO  8356 --- [restartedMain] TomcatWebServer:220 : Tomcat started on port(s): 8989 (http) with context path ''
[2023-10-31 22:38:47:80813] INFO  8356 --- [restartedMain] BackendCodingApplication:57 : Started BackendCodingApplication in 0.521 seconds (process running for 82.059)
[2023-10-31 22:38:47:80814] INFO  8356 --- [restartedMain] ConditionEvaluationDeltaLoggingListener:63 : Condition evaluation unchanged
[2023-10-31 22:39:47:140677] INFO  8356 --- [File Watcher] LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener:211 : Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
[2023-10-31 22:39:47:140701] INFO  8356 --- [Thread-12] Http11NioProtocol:173 : Pausing ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:39:47:140701] INFO  8356 --- [Thread-12] StandardService:173 : Stopping service [Tomcat]
[2023-10-31 22:39:47:140704] INFO  8356 --- [Thread-12] Http11NioProtocol:173 : Stopping ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:39:47:140706] INFO  8356 --- [Thread-12] Http11NioProtocol:173 : Destroying ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:39:47:140708] INFO  8356 --- [Thread-12] LocalContainerEntityManagerFactoryBean:650 : Closing JPA EntityManagerFactory for persistence unit 'default'
[2023-10-31 22:39:47:140908] WARN  8356 --- [Thread-12] DisposableBeanAdapter:210 : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-214]
[2023-10-31 22:39:47:140909] INFO  8356 --- [Thread-12] HikariDataSource:350 : HikariPool-3 - Shutdown initiated...
[2023-10-31 22:39:47:140910] INFO  8356 --- [Thread-12] HikariDataSource:352 : HikariPool-3 - Shutdown completed.
[2023-10-31 22:39:47:141009] INFO  8356 --- [restartedMain] BackendCodingApplication:51 : Starting BackendCodingApplication using Java 20.0.1 with PID 8356 (C:\workSpace\nhnkcp-coding-test-JHB\target\classes started by alfha in C:\workSpace\nhnkcp-coding-test-JHB)
[2023-10-31 22:39:47:141009] INFO  8356 --- [restartedMain] BackendCodingApplication:632 : No active profile set, falling back to 1 default profile: "default"
[2023-10-31 22:39:47:141203] INFO  8356 --- [restartedMain] RepositoryConfigurationDelegate:138 : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-10-31 22:39:47:141208] INFO  8356 --- [restartedMain] RepositoryConfigurationDelegate:208 : Finished Spring Data repository scanning in 4 ms. Found 0 JPA repository interfaces.
[2023-10-31 22:39:47:141241] WARN  8356 --- [restartedMain] ClassPathMapperScanner:44 : No MyBatis mapper was found in '[kr.co.kcp.backendcoding]' package. Please check your configuration.
[2023-10-31 22:39:47:141292] INFO  8356 --- [restartedMain] TomcatWebServer:108 : Tomcat initialized with port(s): 8989 (http)
[2023-10-31 22:39:47:141293] INFO  8356 --- [restartedMain] Http11NioProtocol:173 : Initializing ProtocolHandler ["http-nio-8989"]
[2023-10-31 22:39:47:141293] INFO  8356 --- [restartedMain] StandardService:173 : Starting service [Tomcat]
[2023-10-31 22:39:47:141293] INFO  8356 --- [restartedMain] StandardEngine:173 : Starting Servlet engine: [Apache Tomcat/10.1.7]
